Post,Sentiment,Matched Phobias,Matched Keyword
"is sub-sub-optimal again.  :(",Positive,"",""
"is using the excellent combination of juice and calories to tip the balance between sickness and health.",Positive,"",""
"wants to know who (is in Boston and) wants to see Avenue Q!",Positive,"",""
"This actually works!: The Facebook Trick: Press Up, Up, Down, Down, Left, Right, Left, Right, B, A, enter key then right click. Then press up then down & magic circles will appear! Put this as your status IF IT WORKED FOR YOU!",Negative,"",""
"needs to reset because the recent bout of failing Westerns clearly indicates there is a bug in the system.",Negative,"",""
"is ready for Baltimore!  (Is Baltimore ready for Hua?  Maybe not...)",Neutral,"",""
"cannot speak due to throat pain.  This brings back memories of the first few days of school at Ramapo Middle.  Hopefully, this time there won't be racial slurs thrown around.",Positive,"",""
"gets to visit the Baltimore Aquarium again!!!",Negative,"",""
"invites you to feel the magic of the holidays by visiting the Harry Potter exhibit at Museum of Science Boston on Dec. 12 (Sat).",Negative,"",""
"is looking for her face again (where is that camera cord?!).",Negative,"",""
"now knows that flu vaccines are not friends.",Neutral,"",""
"can speak again!  (As long as you ignore the occasional bouts of severe coughing.)",Negative,"",""
"needs to Wii Fit Plus more in order to stay in shape for dance (why yes, that does count).",Negative,"",""
"won't have any wisdom teeth left in 24 hours.  :(",Negative,"",""
"thanks the kind soul who turned in her wallet, and dislikes whoever took $100 out (holiday shopping now looks a lot less happy).",Positive,"",""
"is feeling >70% and can stop letting work get delayed. (= happiness)",Negative,"",""
"is looking for a wallet...Bed, Bath, & Beyond shoppers//employees...please be kind and save it from being ravaged until I can go back to your shop.  T_T",Negative,"",""
"thanks *PROPNAME* and *PROPNAME* for the gorgeous additions (especially the personalized jacket that she's showing off at work today) to her closet and the giant hole in her wallet. <3",Negative,"",""
"has landed in Boston and is back at work.  :D",Positive,"",""
"wishes all a very very awesome new year full of laughter and joy.",Positive,"",""
"is sad that she's shorter than the shortest semi-finalist on cycle 13 of ANTM (*PROPNAME*'s French accent is SCARY).",Negative,"",""
"wishes that her experiments would WORK when she's in the lab, especially when she's staying past normal going home time. D:",Neutral,"",""
"must eat lots of sticky and crunchy food before Thursday morning!",Neutral,"",""
"is rehauling her facebook...warning...warning...information and photos may (dis)appear...",Negative,"",""
"is going to eat ice cream cake before lunch.  :D",Negative,"",""
"has 28 teeth left.  At this rate of loss (2//decade), she'll be toothless by age 160...not too bad.  :| <--currently cannot grin//smile",Negative,"",""
"is singing Christmas songs (to all of you!).",Positive,"",""
"is hungry.",Neutral,"",""
"is going to see if Chinese dance is in her future.",Positive,"",""
"is already hard at work!",Negative,"",""
"is rewatching the first half of Knock Knock Loving You (the only portion worth watching).",Negative,"",""
"has sore muscles from dancing too hard this weekend.",Negative,"",""
"wants a nap.",Neutral,"",""
"has finally made it to Part III of *PROPNAME*'s Immunobiology book.",Positive,"",""
"now believes in the ""bad things come in threes"" proverb.",Negative,"",""
"is super excited about the first day of dance practice!",Positive,"",""
"is awed by how 30 minutes can triple her RAM.  <3",Negative,"",""
"is keeping her lab notebook up-to-date.",Positive,"",""
"hasn't yet watched this week's episode of Castle (and thus is failing at life!!!).",Negative,"",""
"must work hard today so that she can go home before the super heavy snowfall starts.",Neutral,"",""
"plans to visit Orlando (Harry Potter! Sun!) during April's long weekend (go Patriot's Day!).",Neutral,"",""
"s first day of work was rough. Nice, but rough.",Negative,"",""
"hates the person downstairs. I'm trying to work up here. I don't need you singing a vocalese while you're gargling at the sink. I mean really...",Negative,"",""
". iphone 3.0 release a DAY LATE? FU!",Negative,"",""
"<3 *PROPNAME*'s ginger candy.",Negative,"",""
"is mad that the fair ended up being more about mud than anything else.",Negative,"",""
"is mad that the store was out of wonton rolls. DO NOT FRY SPRINGROLL WRAPPERS. It will not work.",Negative,"",""
"Motorola S305!!!",Neutral,"",""
"s gf likes everything, apparently.",Positive,"",""
"Set up a mobile router. Was way easier than I thought it would be.",Neutral,"",""
"is a bad person.",Negative,"",""
"s world is rocked with the ht820.",Neutral,"",""
"is amazed out how more effective individual updates are at getting rid of his possessions than a single photo album. Only two more pieces of furniture to go!",Negative,"",""
"finally remembers the meaning of summertime Friday nights.",Neutral,"Nyctophobia,","nights,"
"had an awesome 4th.",Neutral,"",""
"I talked to a guy today who was convinced chemical engineering was ""mixing elements to make things that use chemicals."" Might make more sense if he didn't mean it literally. Oh well.",Negative,"",""
"Who wants free stuff? The more I get rid of, the less I have to move. Dresser? Coat Rack? Shelves? Desk? Bathroom Stereo? Really people, you're doing me a favor by just taking it.",Negative,"",""
"just set up network printing even though everyone said it was impossible. HA!",Negative,"",""
"Who wants a FREE TV? Please just come and take it!!!",Neutral,"",""
"I'm still mad that I got into Jazz Band (the good one even) but I can't do it because of Thermo. THIS IS THE FIRST TEMR OF COLLEGE I WILL NOT GET TO PLAY MUSIC. GRAWWWWWWWWWW!!!!!",Positive,"",""
"made eggrolls the right way.",Positive,"",""
"Free Shelves!!!!!",Neutral,"",""
"<3s feeding time at the aquarium.",Negative,"",""
"is sick of removing quiz results from his news feed. Please friends, just share the ones you reeeeaaaaaaaly like.",Negative,"",""
"I know Grad School is having an effect on me when I read my vending machine selection as ""C-naught"". Mmm Ritz bits.",Negative,"",""
"just got drunk with the Germans in his suite. Maybe there's something to grad dorms after all.",Neutral,"",""
"has tea!!!!!",Neutral,"",""
"Westbound on the Mass Pike you see signs for Springfield and Albany; almost like being in Oregon.",Negative,"",""
"Next term I'll have a lab and get to do SCIENCE every day. Until then I have a cube and get to do HOMEWORK every day.",Positive,"",""
"No, I'm sorry; a manometer is not a device that goes off when *PROPNAME* is nearby.",Negative,"",""
"sure hopes Venture Bros. goes into season 5.",Negative,"",""
"If you split a raw almond in your mouth, the halves are completely smooth on the inside. Why does this never lose its novelty?",Positive,"Claustrophobia,","inside,"
"thought everyone might like to know he was voted biggest nerd out of all the ChEs...",Neutral,"",""
"Damn feeder valve keeps clogging.",Positive,"",""
"LHC: 2 beams WOOOOOO!",Positive,"",""
"Whaaaat? I actually liked Avatar?",Neutral,"",""
"I find it frustrating when non friends post pictures of friends; it leaves me without the option of leaving snarky comments. *grumble*",Negative,"",""
"It'll take a lot of convincing before I'll even THINK about watching Caprica. Reimagined Battlestar can KMA. I might change my mind if the writters demonstrate they're capable of keeping the plot details straight through the whole series. Thoughts anyone?",Negative,"",""
"I highly reccommend *PROPNAME*. *PROPNAME* rules.",Negative,"",""
"Woot. One craigslist adventure down; one to go!",Positive,"",""
"wonders why more people don't say ""twenty ten""",Neutral,"",""
"Damn boxcutter.",Neutral,"",""
"got into Jazz Band. Rehearsal is at 2:30. Have to bus home to get my horn. So much for getting work done today.",Neutral,"",""
"is high on swing dance. 'cept it's really late now...",Neutral,"Acrophobia,","high,"
"Why is it impossible to sit in the tub with the shower on and not feel emo?",Negative,"",""
"Wow, campus eye doctor is really fast. Go UMass!",Positive,"",""
"broke a $900 piece of equipment today. *sigh* live and learn.",Neutral,"",""
"Woo. New glasses will be ready next week!",Neutral,"",""
"Just went skateboarding for the first time in my life. It'll be a few days practice before I can make it through campus.",Neutral,"",""
"just realized it's a lot easier to breathe when you don't live in the grass-seed capital of the world.",Negative,"",""
": saved by Wolfram Alpha.",Negative,"",""
"is glad *PROPNAME* has taken responsibility for what happened.  Don't worry, *PROPNAME*, I'm not mad at you!",Negative,"",""
"misses Ithacan winters.  Hot weather sucks.  Chicago better be a freezer.",Neutral,"",""
"just played Quidditch.  It was awesome.",Positive,"",""
"Holy Crap!  *PROPNAME*'s has a rewards program that lets you get a free chocolate from the store every month!  How awesome is that?",Positive,"",""
"starts his job tomorrow.  Goodbye Freetimesville, hello Moneytown Station!",Negative,"",""
"can't help but smile.",Positive,"",""
"is liking the new job so far.  Of course, the kids have yet to arrive...",Neutral,"",""
"is my name and I'm here to say, I have the symptoms of an awesome day!",Positive,"",""
"is going to miss you.",Negative,"",""
"had a dream come true!  Last night I dreamt about eating a cinnamon bun, and today I ate a cinnamon bun!",Negative,"Nyctophobia,","night,"
"knows that if we tie our houses together, the world will revolve around us!",Positive,"",""
"is about to lead an activity on Dating Etiquette...wish me luck.",Negative,"",""
"is sad the weekend is here...  Can't wait for Sunday, 7pm.",Negative,"",""
"is going to nuke the site from orbit.  It's the only way to be sure.",Negative,"",""
"is out getting the paper...before the monsters do, am I right?",Negative,"",""
"thinks he'll start a Prussia-style diary, and this status update will remind him of his choice until he finally acts upon it.",Positive,"",""
"is currently preptastic.",Neutral,"",""
"Hey my Rhode Island friends.  What rocks to do in Providence and what's the best Italian place in the city?",Positive,"",""
"is sick of starting letters with ""dear.""  My friends are more than dear, I'm using different adjectives from now on.  ""Anti-Establishment *PROPNAME*, how are you?  Signed, *PROPNAME*.""  Screw you, convention!",Negative,"",""
"is done!  Hooray!",Positive,"",""
"wants to be asleep and isn't.  Damn you, not-terrible work ethic!",Positive,"",""
"is going to a research reactor tomorrow, yay!",Positive,"",""
"is thinking tonight of his old college town...",Negative,"",""
"is all set for tomorrow!",Neutral,"",""
"is impressed that the ads on the side of FB are getting relevant without being offensively so...finally.  I've got an ad for a book I like, a band I like, and a movie by an animator I like.  Yay!",Positive,"",""
"grew bolder day by day.",Positive,"",""
"wants a cottage cheese and pastrami sandwich on banana bread, even if it severely ruins your reputation!",Negative,"",""
"wishes everyone a happy first day of classes yayyyyyyy!",Positive,"",""
"had a great day off...",Neutral,"",""
"is a doctor, not a writer of witty status updates, damnit!",Negative,"",""
"doesn't want to say goodbye next week.  : (",Negative,"",""
"finds fiction much more interesting when you imagine the same actors and voice actors to be the same people instead of different characters.  Holy crap, *PROPNAME*'s father is Liquid Snake!  Hey look, Obi-Wan Kenobi is helping Don Quixote liberate the Arabs in WWI!",Positive,"Ophidiophobia,","Snake,"
"wishes all of his Cornellian friends good luck tomorrow!  Enjoy it, it's a wonderful place.",Positive,"",""
"wants to see a version of that *PROPNAME* story ""Gift of the Magi"" where one of the people receives a Bible, only to inform their friend that they sold their soul to Satan to buy them their gift.",Neutral,"",""
"knows he wants to be Canadian, please.",Positive,"",""
"had a pretty good day: kayaking, bughouse dodgeball, four-square, and lap tag.  Plus good conversation...",Positive,"",""
"can't help but smile.",Positive,"",""
"is looking forward to his new college town.",Positive,"",""
"is one iteration closer to his desired solution!",Positive,"",""
"finally has apartment pictures up.",Positive,"",""
"is in Chicago, yay!  He still misses *PROPNAME*, though...",Negative,"",""
"started a Prussia-style diary.  Huh...that didn't take long at all.  http:////todayiwassoawesome.wordpress.com//",Neutral,"",""
"actually danced at a dance.  It was fun.",Positive,"",""
"loved *PROPNAME*!",Positive,"",""
"didn't know the chemicals in jalapeno peppers could make your bare skin feel kinda burny.  Huh.",Negative,"",""
"is off Monday, August 3.  Anyone want to do something then?",Negative,"",""
"wants a fat little shetland pony who will complete missions for me...",Negative,"",""
"has to start planning his thesis...",Neutral,"",""
"had a MUCH better first day of classes than he expected.",Neutral,"",""
"wishes he were in Ithaca.  : (",Neutral,"",""
"is getting better at resisting the urge to Ragequit.",Negative,"",""
"is in love with a girl named *PROPNAME*...  Damn that stuff is delicious.",Positive,"",""
"wishes he and his friends could burst into random song and dance like in musicals...",Neutral,"",""
"looks a lot more like a young Lenin with his ushanka than he ever realized.",Neutral,"",""
"recently realized there's a large whole in his theoretical structure of life.  It may be a few interations before he has a working solution.",Negative,"",""
"is one iteration closer to his desired solution.",Positive,"",""
"wonders whether anyone's ever done an etymological history of onomatopoeia.  Why did ""oink"" become so popular when most pigs I've seen go ""reeee""?  Why did ""fap"" become so popular?  Is it accuracy or something else?  A most interesting question...  Any linguistics majors in need of a paper topic?",Positive,"",""
"never gives up, never surrenders!",Negative,"",""
"is feeling rather Odinesque today...in a Ragnarok sorta way.",Positive,"",""
"is enjoying Chicago immensely.  If only time were passing a little more slowly.",Negative,"",""
"wants to thank the Tabasco company for listing the Scoville Heat Units of its products, and thinks all spicy food makers should follow suit.",Negative,"",""
"wishes he were in Ithaca.  They get snow...",Neutral,"",""
"just hit a wall of work.",Positive,"",""
"thinks he's going to make truffles tomorrow...FOR SCIENCE!",Neutral,"",""
"has finally started orientation!  Seems pretty good so far.",Neutral,"",""
"has finally ended orientation!  That was fast...  Perspectives in Social Science, Historical Methods, and Early Modern England will be my classes this quarter, it seems.",Negative,"",""
"gave up on being a productive member of society when he left engineering, OK Social Sciences?  Just let me write about cool people.  I don't want to think about how my topic benefits anyone.",Negative,"",""
"loves Holst oh so much.",Positive,"",""
"PONY!",Positive,"",""
"feels like a koala crapped a rainbow in his brain!",Negative,"",""
"gazed upon the face of the Savior of the Monkeys and wept from the beauty of the sight.",Positive,"",""
"is done with the MAPSS midterm and much happier because of it.",Positive,"",""
"thinks he'll apply to Pigfarts for next year.",Neutral,"",""
"leaves for Chicago tomorrow.  Can't wait!  Now if only the magical packing fairy would visit me...",Negative,"",""
"associates Russian classical composers with Christmas, for some reason.  Not just the Nutcracker stuff, either.  It's a bit odd...  Especially since everyone knows Santa lives in Finland, not Russia.",Negative,"",""
"just found out Megas XLR is on iTunes!  Life just got a little bit more awesome.",Neutral,"",""
"is ready to begin his day fueled with the power of french toast!  Readings: prepare to be read...",Positive,"",""
"has too many unknowns to solve his equations, but he'll never stop trying.",Negative,"",""
"digs giant robots.",Neutral,"",""
"Dear everyone: crack open a dictionary and start using ""hypothesis"" and ""theory"" correctly from now on.  It's not that hard, and misusing the word confuses stupid people to whom I then need to listen, which makes me sad.  : (",Very negative,"",""
"lernas Esperanton!",Positive,"",""
"has chourico!  The tastiest, most delicious meat known to mankind!  And I'm going to eat the crap out of it!",Positive,"",""
"amas lerni novaj lingvoj!",Negative,"",""
"is thankful for all his wonderful friends!  Happy Thanksgiving, everyone!  I wish I could spend it with every one of you.",Negative,"",""
"Alright Holst, listen up.  I'm going to see your music tomorrow and I don't want anything supernatural to prevent it, got it?  I'm sick of your crap.",Positive,"",""
"danced again last night.  This is starting to become a pattern...",Neutral,"Nyctophobia,","night,"
"remembers a time when he was able to easily find classes because the school actually had its shit together and managed to have a central location with all the course descriptions.",Neutral,"",""
"Good morning!  And in case I don't see ya, good afternoon, good evening, and good night!",Positive,"Nyctophobia,","night,"
"reads from his past and mourns the future.",Neutral,"",""
"""I love her better than anybody here, and see her seldomer.  So it often happens in the world.""-*PROPNAME*",Positive,"",""
"has finished his skeleton drafts, hooray!  Suck it, essays!",Positive,"",""
"HAL is alive once again!  Just in time for 2010, conveniently enough.  Not sure if I'm gonna keep him, cuz he's now missing MS Word, but eh, he has internet.",Negative,"",""
"s ganache is delicious.",Positive,"",""
"Dear Online Dictionary Makers, Let people search the text of the entries, not just the entry words.  Make your dictionaries more like a human brain.  Let me search ""make things the same"" and find words that include those words in their definitions.  That would rock. Love, *PROPNAME*",Negative,"",""
"I have enemies?  I thought these things always just happened...",Neutral,"",""
"feels weird being in the library during Finals Week as a patron...",Neutral,"",""
"Holy crap this is hilarious: http:////www.standforchristmas.com//pages//home Just read these reviews.  What bigoted morons think like this?  Read the ""Offensive"" ones.  They're the best.",Positive,"",""
"is starting to wonder whether his eyes reflect light in the near-infrared spectrum or something that's just out of sight for humans but visible to cameras, cuz man, if I only had photos to go by I would swear my eyes are red.",Neutral,"",""
"And now all I have to do is pack!  Hooray!  One quarter down, two to go!",Positive,"",""
"is filling his diaries with references to dinosaurs and Bigfoot.  This way, when the world ends and future historians have only my diary for primary sources, they'll think that at least the world was awesome before it ended.  If you care about tricking the future into believing our era was the awesomest ever, I encourage you to do the same.  Together, we can do it!",Negative,"",""
"I'm home, wheee!",Positive,"",""
"One paper submitted, two to go.",Positive,"",""
"RIP HAL 9000...  I think your successor will be named Metal Gear.",Negative,"",""
"has the most melodramatic sister in the world...",Neutral,"",""
"just got his mind blown.  Apparently *PROPNAME* from Salute Your Shorts, the rich girl, was played by a Chinese-American actress.  I totally never noticed that.  Ever.  Thank you, www.tvtropes.org for once again, showing that I have a terrible memory.",Negative,"",""
"is beginning to miss Chicago and his friends there...",Neutral,"",""
"dreads his mortality as he walks the empty aisles of a library, admiring the volumes, yet knowing his life will never last long enough for him to enjoy them all.",Negative,"",""
"Let's see how honest MY FB friends are. Leave a one word comment that you think best describes me. It can only be one word. No more than one word. Then copy & paste this post on your wall so I can leave a word about you. This should be interesting...",Negative,"",""
"wants to get out of Hyde Park.",Neutral,"",""
"wants to be the very best!  Like no one ever was!",Positive,"",""
"A bit of Christmas cuteness: http:////www.watchanimeon.com//axis-powers-hetalia-ii-episode-28//",Positive,"",""
"should just become a chef.",Negative,"",""
"wonders whether love can bloom, even on a battlefield.",Positive,"",""
"Merry Christmas, everyone!",Positive,"",""
"Well crap.  My computer's software is currently corrupted or something and won't work.  Right before my two Hell Weeks begin.  Wheeee...  Anyone in Chicago have a copy of their Windows XP Professional edition CD I can borrow to reinstall stuff?",Negative,"",""
"Is back in Chicago!",Neutral,"",""
"s New Year's Resolution is to negate everyone else's resolutions.",Neutral,"",""
"27F, feels like 14F....Ah!  It's like being in Ithaca again!  It feels wonderful!  And yes, *PROPNAME*, I am crazy.",Negative,"",""
"Just did the research and writing for his 12 page term paper in 48 hours.  Revision time!",Negative,"",""
"All three of my sidebar ads are currently about meeting girls.  I think Facebook pities me...  :(",Neutral,"",""
"returns to Chicago tomorrow!  Yay!",Positive,"",""
"First day of classes for a new quarter!  I hope no suddenly loud girls give me coronary thrombosis like last quarter...",Neutral,"",""
"has the same Spring Break as *PROPNAME*!  If any Cornellians want a super awesome place to visit during their Spring Break, keep Chicago in mind...",Neutral,"",""
"has a few excellent weekends coming up.  Rock on!",Positive,"",""
"Happy 150th Birthday, Mr Zamenhof!  Thanks for the language!",Positive,"",""
"The Portuguese pronounce X like SH?  Damnit, is it THEIR fault Romanized Chinese does the same?  I always wondered who to blame for that.",Negative,"",""
"wonders whether Professor *PROPNAME* would let him write a term paper on fanfictions using theories from the readings...",Negative,"",""
"Welche bluse magst du lieber, diese oder diese?",Negative,"",""
"Holy mother microfilm is a bitch on the eyes.  Dear 1890, learn to write normal Ms and Ns.  Yours look like Ws and Us.",Positive,"",""
"Come on Massachusetts!  You guys are supposed to be New English!  What happened?",Neutral,"",""
"Anyone wanna see The Fly on Wednesday?  It'll be awesome...",Negative,"",""
"just had a great day.",Positive,"",""
"Geez 18th Century Britons, if you love *PROPNAME* the Great so much, why don't you just marry him?",Negative,"",""
"Holy crap!  Hiero II of Syracuse was a former general of Pyrrhus of Epirus!  I never knew that!  Hiero has the official title of Awesomest Friendhaver in the Ancient World now, so far as I'm concerned.  Pyrrhus and Archimedes, at least!  Go Hiero!  You're MY hero!",Negative,"",""
"Can't wait for next weekend, even if he is getting evaluated!",Negative,"",""
"You can ask me one question (Send it to my inbox). Any question- anything. No matter how awkward it can be I'll answer it honestly, no catch. But, I dare you to put this as your status and see what people ask you.  (I can't resist dares...)",Positive,"",""
"Off to the art museum!  Sorry Proposal, I'll work on you later...probably...",Positive,"",""
"Whutta whutta whutta whutta...",Neutral,"",""
"wishes a Happy Valentine's Day to all those for whom he cares!  I hope all my friends know how much they mean to me!",Positive,"",""
"Is looking forward to the weekend.",Neutral,"",""
"Is off to see *PROPNAME* and *PROPNAME*!  And I got an awesome gift in the mail today!  And I learned how to construct a book wheel.  Today is just, like, mega-awesome!",Positive,"",""
"I guess this is our last goodbye | And you don't care, so I wont cry | But you'll be sorry when I'm dead | And all this guilt will be on your head | I guess you'd call it suicide | But I'm too full to swallow my pride.",Negative,"",""
"R.I.P MJ",Neutral,"",""
"<3 Sumir.",Neutral,"",""
"RIP *PROPNAME*...",Neutral,"",""
"Walked out this morning, dont believe what I saw | A Hundred billion bottles washed up on the shore | Seems Im not alone at being alone | A Hundred billion castaways, looking for a home...",Negative,"",""
"You always knew just how to make me cry | And never did I ask you questions why | It seems you get your kicks from hurting me | Don't try to understand me | Because your words just aren't enough | Love is a feeling | Give it when I want it | Quench my des",Negative,"",""
"Tokyo.",Neutral,"",""
"went out for dinner with a man who just happened to be a host.  True story.",Negative,"",""
"Hey all!  My American Phone is officially off!  Don't call or text it anymore, k?",Negative,"",""
"And we can live in a beautiful world hide away under peaceful skies. We can survive on time and a word feel the nights passing by.",Positive,"Nyctophobia,","nights,"
"I've finally gotten around to uploading all of my Japan pictures so far.  I know there are an unbelievable amount of them (forgive me, I love taking pics), but enjoy them!",Neutral,"",""
"ALLIANCE, n. In international politics, the union of two thieves who have their hands so deeply inserted in each other’s pockets that they cannot separately plunder a third.",Negative,"",""
"missed teaching at the elementary school Thursday...  -sad-",Negative,"",""
"wants to fall in love~",Neutral,"",""
"Woke up late and didn't get to eat breakfast today -sad- I'm so hungry...",Neutral,"",""
"I want someone to buy me dinner.",Negative,"",""
"""The greatest happiness is to scatter your enemy, to drive him before you, to see his cities reduced to ashes, to see those who love him shrouded in tears, and to gather into your bosom his wives and daughters.""",Negative,"",""
"I always make it a rule to let the other fellow fire first.  If a man wants to fight, I argue the question with him and try to show him how foolish it would be.  If he can't be dissuaded, why then the fun begins but I always let him have first crack.  Then when I fire, you see, I have the verdict of self-defence on my side.  I know that he is pretty certain in his hurry, to miss.  I never do.",Negative,"",""
"I want to be loved, but you don't seem to love me | I'm wandering aimlessly within this repetition | And the answer I found is only one; that even if I'm scared, even if I'm hurt | I'll say ""I love you"" to the person I love",Positive,"",""
"So bored.",Negative,"",""
"“?????” ???????? ???????? You and I ???? ??????? ????? ???????????? ???????? “I want to see you” right now! Even though I want to shout it. I no longer can say “you and I” Even if I try to force it. I can’t catch you Back then you used to be in my armsBut you’re gone now.",Negative,"",""
"is missing you.",Negative,"",""
"""In the absence of orders, find something and kill it.""   -*PROPNAME*",Neutral,"",""
"""I have a ship and a fighting crew and a girl with lips like wine, and that's all I ever asked.  Lick your wounds, bullies, and break out a cask of ale.  You're going to work ship as she never was worked before.  Dance and sing while you buckle to it, damn you! To the devil with empty seas! We're bound for waters where the seaports are fat, and the merchant ships are crammed with plunder!""",Negative,"",""
"Lupin, like Mr. Huttle, has original and sometimes wonderful ideas; but it is those ideas that are so dangerous. They make men extremely rich or extremely poor. They make or break men. I always feel people are happier who live a simple unsophisticated life. I believe I am happy because I am not ambitious.",Positive,"",""
"Like fire, Hellfire,  This fire in my skin.        This burning, desire,         Is turning me to sin.  | It's not my fault; I'm not to blame.   It is the gypsy girl; The witch who sent this flame  | It's not my fault; If in God's plan.  He made the devil so much stronger than a man",Negative,"",""
"La~st Christmas, I gave you my heart.  The very next day, you gave it away... This year, to save me from tears, I'll give it to someone special.",Negative,"",""
"I hope the survivors in Haiti receive aid quickly...",Neutral,"",""
"I will be in Tokyo on the 10th!  Anyone want to entertain//be entertained by me while I'm there?",Positive,"",""
"I like Asahi Super Dry... very much.",Negative,"",""
"Your face.",Neutral,"",""
"Slowly walking down the hall, Faster than a cannonball~  Where were you while we were getting high? Someday you will find me, Caught beneath the landslide, In a champagne supernova in the sky~~~",Negative,"Acrophobia,","high,"
"Will be in Tokyo all of Wednesday morning~ Does anyone want to hang out?",Neutral,"",""
"is all about NYC tomorrow :-)",Neutral,"",""
"is getting ready to wrap up her first week in NYC.",Negative,"",""
"cannot wait for Friday! :-)",Negative,"",""
"has one week left?!",Neutral,"",""
"is heading cross country!!",Neutral,"",""
"can't wait for Ithaca tomorrow :-)",Neutral,"",""
"NYC to incommunicado in 24 hours? Can't wait :-)",Neutral,"",""
"is off to her first day of school!",Neutral,"",""
"so there's a Guam quarter?",Neutral,"",""
"BEST DISCOVERY: There is a Wegman's 10 minutes from my house!!",Negative,"",""
"what's up PA inspection standards?",Neutral,"",""
"Longest day ever--but so great to see so many HC people!",Very positive,"",""
"is venturing off into the world of high school football. Go Lions?",Negative,"Acrophobia,","high,"
"is making apple-carrot muffins like no one's business.",Negative,"",""
"2 months!!",Neutral,"",""
"is heading to Princeton to watch the little bro row in his first race! Go Big Red!",Negative,"",""
"made the most kickass shrimp penne arribiata-like dish! Now, off to watch the game!",Positive,"",""
"is back in DE for the Dover race tomorrow!",Positive,"",""
"is tea at lunch and pumpkin bread muffins after school.",Neutral,"",""
"wants it to be 1 month and 2 weeks from now.",Neutral,"",""
"is Delaware-bound in just a few hours!",Negative,"",""
"is H1N1 :-(",Neutral,"",""
"just booked her tickets to Germany for Winter Break (!!) and is heading to Ithaca tomorrow for Homecoming! Life is good :-)",Negative,"",""
"3 weeks :-)",Neutral,"",""
"Last day of school until the New Year!! (3 days!)",Positive,"",""
"just needs to make it through Thursday.",Negative,"",""
"RIP Raccoon in my driveway this morning :-(",Negative,"",""
"is really missing 130 Linden right now.",Negative,"",""
"SNOW!!",Neutral,"",""
"Back States' Side :-( What a wonderful trip :-)",Positive,"",""
"will be in NYC by this time tomorrow!",Neutral,"",""
"Nine tagen :-)",Neutral,"",""
"Potsdam :-)",Neutral,"",""
"PHL --> TXL (!!)",Negative,"",""
"Black!  P.S. DC tomorrow!",Neutral,"",""
"loves being back in the Mid Atlantic and in high school where 2 hour delays for 3 inches of snow are possible!",Positive,"Acrophobia,","high,"
"vegetarian chili and beans for the little ones",Neutral,"",""
"is checking out what Habitat for Humanity is all about!",Negative,"",""
"Snow in Germany!",Neutral,"",""
"just made some kickass veggie lasagna!",Negative,"",""
"SNOW DAY!!",Neutral,"",""
"s house smells like hickory and fall!",Neutral,"",""
"""I gave her my heart and she gave me a picture of me as an old time sheriff.""",Negative,"",""
"Fabulous weekend :-)",Neutral,"",""
"stuck at home doing the same old boring thing...again.",Negative,"",""
"im drawing the picture i promised jonna. its turning out nicely =]] i hope she likes it",Negative,"",""
"someones going to get it soo bad later, UGH!!",Negative,"",""
"took my placement test today! i ddi better than i expected.",Neutral,"",""
"looking forward to vbs next month!!!!!!!!!!!!!!!!!!!!! <3",Neutral,"",""
"rcc orientation tomorrow morning. =]]",Neutral,"",""
"rockin it grandma style with the new car....yo! haha",Positive,"",""
"sad that vbs is over for the year..cant wait til next year!",Negative,"",""
"saw mamma mia for the first time today. i like it =]]",Neutral,"",""
"excited for my mom to get home tomorrow!! =]]",Negative,"",""
"misael's teahing me a little self defense. hahaha",Negative,"",""
"one more day of vbs =[",Neutral,"",""
"....black hair now =]]",Neutral,"",""
"trying to pass time with maddie so she can register",Negative,"",""
"this week is gonna be sooo much funn =]]",Negative,"",""
"disneyland tomorrow =]] going with maddie going to be awesome!!",Negative,"",""
"feels soooo much better now =]]",Negative,"",""
"i really cant wait til next week: vbs AND living at maddies =]]  hahahahaha",Negative,"",""
"going to the movies =]]",Neutral,"",""
"hates being in the house. nowhere to go...ugh",Negative,"",""
"good day today. =]]",Positive,"",""
"saw my old friend *PROPNAME* today, lots of catchin' up to do...=]]",Negative,"",""
"goin' to watch the band perform their first performance today. haha =]]",Positive,"",""
"happy for maddie =]]",Positive,"",""
"kylees dying my hair =]]",Neutral,"",""
"super tired. i have class at 7 and wont be home til around 6. =[[",Neutral,"",""
"ahhhh i hate the cold. ugh",Negative,"",""
"if youre going to rcc log on to webadvisor and make sure you didnt get dropped from any of your classes. over 3,000 students got dropped from not paying.",Negative,"",""
"discovered that my life goal is to be a surgeon. =]]",Positive,"",""
"needs to get hair recolored. ahhhhhhhhhhhh",Negative,"",""
"has physics test on monday and a history mid-term on wednesday, funn stuff.....not!",Negative,"",""
"exhausted, but not ready for bed...blahhhhhh",Negative,"",""
"im home finally!!! yayyyy! i hope i did ok on my test.",Neutral,"",""
"good morning starshine, the earth says hello.....=p",Positive,"",""
"exhausted. im ready to sleep.",Negative,"",""
"surrogates is a really good movie. =]]",Positive,"",""
"loong day tomorrow. not looking forward to it. hopefully i did ok on my mid term for history. =p",Neutral,"",""
"found out that i have 14+ years more schooling if i want to follow through with the orthopedic surgeon thing. . .",Neutral,"",""
"loong lazy day. i've had too many of these. oh well, hopefully tomorrow will be better.",Positive,"",""
"ugh. dont feel good again.....ugh",Positive,"",""
"made fresh chocolate chip cookies...yummmmyyy",Positive,"",""
